﻿﻿﻿﻿chapter,arabic,korean,example_sentence,sentence_korean
2과,طَالِبَةٌ,학생,هِيَ طَالِبَةٌ,그녀는 (학생)입니다.
2과,الْمَكْتَبَةِ,도서관,أَنْتِ مُدِيرَةٌ فِي الْمَكْتَبَةِ,당신은 (도서관)의 관리자입니다.
2과,كُورِيَا,한국,أَنَا مِنْ كُورِيَا,나는 (한국)에서 왔습니다.
2과,طَبِيبٌ,의사,أَنْتَ طَبِيبٌ,당신은 (의사)입니다.
2과,مُدَرِّسٌ,선생님,هُوَ مُدَرِّسٌ مِنْ لِيبِيَا,그는 리비아에서 온 (선생님)입니다.
2과,مُدَرِّسَةٌ,선생님,نَانْسِي مُدَرِّسَةٌ,난시는 (선생님)입니다.
2과,الْجَامِعَةُ,대학교,الْجَامِعَةُ قَرِيبَةٌ مِنْ هُنَا,(대학교)는 여기서 가깝습니다.
2과,مَفْتُوحٌ,열려,الشُّبَّاكُ مَفْتُوحٌ,창문이 (열려) 있습니다.
2과,مَوْجُودٌ,있습니다,فَرِيدٌ مَوْجُودٌ فِي الْمَكْتَبِ,파리드는 사무실에 (있습니다).
2과,الْمَكْتَبَةِ,도서관,نَجِيبٌ فِي الْمَكْتَبَةِ,나집은 (도서관)에 있습니다.
2과,كِتَابٌ,책,هَلْ هَذَا كِتَابٌ؟,이것은 (책)입니까?
2과,كِتَابٌ,책,أَهَذَا كِتَابٌ؟,이것은 (책)입니까?
2과,أَمْرِيكَا,미국,هَلْ هُوَ مِنْ أَمْرِيكَا؟,그는 (미국) 출신입니까?
2과,أَمْرِيكَا,미국,أَهُوَ مِنْ أَمْرِيكَا؟,그는 (미국) 출신입니까?
2과,الْمُدِيرُ,실장,هَلِ الْمُدِيرُ فِي الْمَكْتَبِ؟,(실장)은 사무실에 있습니까?
2과,الْأُسْتَاذُ,교수님,أَلَيْسَ الْأُسْتَاذُ فِي الصَّفِّ؟,(교수님)은 교실에 계시지 않니?
2과,الصَّفِّ,교실,بَلَى، هُوَ فِي الصَّفِّ.,"응, 그는 (교실)에 계셔."
2과,مِصْرَ,이집트,هَلْ عَلِيٌّ مِنْ مِصْرَ، أَلَيْسَ كَذٰلِكَ؟,"알리는 (이집트) 출신이지, 그렇지 않니?"
2과,الْمُدِيرُ,관리자,الْمُدِيرُ هُنَاكَ,(관리자)는 저기에 있습니다.
2과,تُونِسَ,튀니지,لَيْسَ الطَّالِبُ مِنْ تُونِسَ,그 학생은 (튀니지) 출신이 아닙니다.
2과,مُوَظَّفَةً,직원,لَيْسَتْ سَمِيرَةُ مُوَظَّفَةً فِي الْبَنْكِ,사미라는 은행 (직원)이 아닙니다.
2과,طَالِبَةٌ,학생,هِيَ طَالِبَةٌ مِنْ لُبْنَانَ,그녀는 레바논에서 온 (학생)입니다.
2과,بَعِيدٌ,멉니다,الْمَكْتَبُ بَعِيدٌ عَنْ هُنَا,사무실은 여기서 (멉니다).
2과,عُمَانَ,오만,الْأُسْتَاذُ كَمَالٌ مِنْ عُمَانَ,카말 교수님은 (오만) 출신입니다.
2과,بَعِيدَةٌ,멉니다,نَعَمْ، الْمَدْرَسَةُ بَعِيدَةٌ عَنْ هُنَا,"네, 학교는 여기서 (멉니다)."
2과,الْمُدَرِّسُ,선생님,الْمُدَرِّسُ سَامِي,(선생님)은 사미입니다.
2과,الْمَكْتَبَةِ,도서관,وَدَادُ فِي الْمَكْتَبَةِ,와다드는 (도서관)에 있습니다.
2과,النَّصُّ,텍스트,لَيْسَ النَّصُّ سَهْلًا,그 (텍스트)는 쉽지 않습니다.
3과,الْمُدَرِّسُ,선생님,هَلِ الْمُدَرِّسُ فِي الصَّفِّ؟,(선생님)은 교실에 계시니?
3과,الْمُدِيرُ,관리자,مَنِ الْمُدِيرُ؟,(관리자)는 누구니?
3과,الطَّالِبُ,학생,مَنِ الطَّالِبُ؟,(학생)은 누구니?
3과,أُسْتَاذٌ,교수,هُوَ أُسْتَاذٌ مِنَ السُّعُودِيَّةِ,그는 사우디아라비아 출신의 (교수)이다.
3과,الطَّاوِلَةُ,탁자,هٰذِهِ الطَّاوِلَةُ قَدِيمَةٌ,이 (탁자)는 낡았다.
3과,الْكُرْسِيُّ,의자,هٰذَا الْكُرْسِيُّ جَدِيدٌ,이 (의자)는 새것이다.
3과,الْمُدِيرُ,관리자,مَنْ هٰذَا الْمُدِيرُ؟,이 (관리자)는 누구입니까?
3과,مُوَظَّفٌ,직원,هٰذَا مُوَظَّفٌ,이 사람은 (직원)입니다.
3과,سِكْرِتِيرَةٌ,비서,هٰذِهِ سِكْرِتِيرَةٌ,이 사람은 (비서)입니다.
3과,الْكِتَابُ,책,الْكِتَابُ هُنَا,(책)이 여기에 있다.
3과,هُنَاكَ,저기에,الْأُسْتَاذُ كَمَالٌ هُنَاكَ,카말 교수님이 (저기에) 있다.
3과,قَلَمٌ,펜,هُنَاكَ قَلَمٌ وَكِتَابٌ,(펜) 하나와 책 한 권이 있다.
3과,الْمَكْتَبِ,책상,لَيْسَ هُنَاكَ قَلَمٌ وَكِتَابٌ عَلَى الْمَكْتَبِ,(책상) 위에 펜 하나와 책 한 권이 없다.
3과,أَلْهَاتِفُ,전화기,أَلْهَاتِفُ عَلَى الطَّاوِلَةِ,(전화기)가 탁자 위에 있다.
3과,هَاتِفٌ,전화기,عَلَى الطَّاوِلَةِ هَاتِفٌ,탁자 위에 (전화기)가 한 대 있다.
3과,السَّيَّارَةُ,자동차,السَّيَّارَةُ أَمَامَ الْبِنَاءِ,(자동차)는 건물 앞에 있다.
3과,الْحَقِيبَةِ,가방,الْكِتَابُ فِي الْحَقِيبَةِ,책은 (가방) 안에 있다.
3과,فَوْقَ,위,الصُّورَةُ فَوْقَ التِّلْفَازِ,그림은 텔레비전 (위)에 있다.
3과,بِجَانِبِ,옆,الْوَلَدُ بِجَانِبِ الْبَابِ,소년은 문 (옆)에 있다.
3과,تَحْتَ,아래,الْكَلْبُ تَحْتَ الطَّاوِلَةِ,개는 탁자 (아래)에 있다.
3과,السَّرِيرُ,침대,السَّرِيرُ بَيْنَ الْكُرْسِيِّ وَالطَّاوِلَةِ,(침대)는 의자와 탁자 사이에 있다.
3과,الْغُرْفَةُ,방,هٰذِهِ الْغُرْفَةُ كَبِيرَةٌ,이 (방)은 크다.
3과,طَاوِلَةٌ,탁자,فِيهَا طَاوِلَةٌ وَمَكْتَبٌ وَخِزَانَةٌ وَكُرْسِيٌّ,"그 안에는 (탁자), 책상, 옷장, 의자가 있다."
3과,حَاسُوبٌ,컴퓨터,عَلَى الطَّاوِلَةِ هُنَاكَ حَاسُوبٌ وَهَاتِفٌ,탁자 위에는 (컴퓨터)와 전화기가 있다.
3과,دَفْتَرٌ,공책,وَعَلَى الْمَكْتَبِ هُنَاكَ كِتَابٌ وَقَلَمٌ وَدَفْتَرٌ,"그리고 책상 위에는 책, 펜, (공책)이 있다."
3과,حَقِيبَةٌ,가방,وَعَلَى الْخِزَانَةِ هُنَاكَ حَقِيبَةٌ,그리고 옷장 위에는 (가방)이 있다.
3과,بِجَانِبِ,옆,الْكُرْسِيُّ بِجَانِبِ الْمَكْتَبِ,의자는 책상 (옆)에 있다.
3과,جَدِيدٌ,새것,وَهُوَ جَدِيدٌ,그것은 (새것)이다.
3과,أَيْضًا,또한,الْمَكْتَبُ جَدِيدٌ أَيْضًا,책상 (또한) 새것이다.
3과,بَيْنَ,사이,وَهُوَ بَيْنَ الْكُرْسِيِّ وَالْخِزَانَةِ,그것은 의자와 옷장 (사이)에 있다.
3과,عَلَى يَمِينِ,오른쪽,الْخِزَانَةُ عَلَى يَمِينِ الْبَابِ,옷장은 문 (오른쪽)에 있다.
3과,الْبَابُ,문,الْبَابُ لَيْسَ كَبِيرًا,(문)은 크지 않다.
3과,شُبَّاكٌ,창문,وَعَلَى يَسَارِ الْبَابِ شُبَّاكٌ,그리고 문 왼쪽에는 (창문)이 있다.
3과,سَرِيرٌ,침대,لَيْسَ هُنَاكَ سَرِيرٌ فِي هٰذِهِ الْغُرْفَةِ,이 방에는 (침대)가 없다.
4과,جَدِيدٌ,새,بَيْتٌ جَدِيدٌ,(새) 집
4과,الْجَدِيدُ,새,اَلْبَيْتُ الْجَدِيدُ,그 (새) 집
4과,مَشْهُورَةٌ,유명한,جَامِعَةٌ مَشْهُورَةٌ,(유명한) 대학교
4과,الْمَشْهُورَةُ,유명한,اَلْجَامِعَةُ الْمَشْهُورَةُ,그 (유명한) 대학교
4과,الْحَدِيثَةِ,현대,إِلَى الْمَكْتَبَةِ الْحَدِيثَةِ,그 (현대) 도서관으로
4과,كَبِيرَةٍ,큰,عَلَى طَاوِلَةٍ كَبِيرَةٍ,(큰) 탁자 위에
4과,الْمَتْحَفُ,박물관,هٰذَا هُوَ الْمَتْحَفُ الْحَدِيثُ فِي حَيِّ الْمَدِينَةِ.,이것은 시내에 있는 그 현대 (박물관)이다.
4과,الْمَشْهُورَةُ,유명한,هٰذِهِ هِيَ الْأُسْتَاذَةُ الْمَشْهُورَةُ مِنَ الْأُرْدُنِّ.,이 분이 요르단 출신의 그 (유명한) 여교수이다.
4과,اَلْكَاتِبُ,작가,اَلْكَاتِبُ هُوَ مُحَمَّدٌ.,그 (작가)가 무함마드이다.
4과,مُوَظَّفٌ,직원,اَلْمُوَظَّفُ مِنْ مِصْرَ.,그 (직원)은 이집트 출신이다.
4과,وَطَنِيَّةٌ,국립,اَلْجَامِعَةُ جَامِعَةٌ وَطَنِيَّةٌ.,그 대학은 (국립)대학이다.
4과,أَسَاسِيَّةٌ,기본,هٰذِهِ جُمْلَةٌ أَسَاسِيَّةٌ.,이것은 (기본) 문장이다.
4과,حُكُومِيٌّ,공무원,أَحْمَدُ مُوَظَّفٌ حُكُومِيٌّ.,아흐마드는 (공무원)이다.
4과,كُورِيَّةٌ,한국,أَنَا طَالِبَةٌ كُورِيَّةٌ.,나는 (한국) 학생(여성)이다.
4과,إِسْبَانِيَّةٌ,스페인,هِيَ مُدَرِّسَةٌ إِسْبَانِيَّةٌ.,그녀는 (스페인) 선생님이다.
4과,جَزَائِرِيٌّ,알제리,هُوَ طَالِبٌ جَزَائِرِيٌّ.,그는 (알제리) 학생이다.
4과,يَابَانِيَّةٌ,일본,هِيَ طَالِبَةٌ يَابَانِيَّةٌ.,그녀는 (일본) 학생이다.
4과,كُورِيٌّ,한국인,هُوَ كُورِيٌّ مِنْ أَمْرِيكَا.,그는 미국 출신의 (한국인)이다.
4과,الْآنَ,지금,سَمِيرٌ فِي مَكْتَبِهِ الْآنَ.,사미르는 (지금) 자신의 사무실에 있다.
4과,بِجَانِبِ,옆에,أَلْبَنْكُ بِجَانِبِ مَكْتَبِهِمْ,그 은행은 그들의 사무실 (옆에) 있다.
4과,كُورِيٌّ,한국,مِين سُو طَالِبٌ كُورِيٌّ.,민 수는 (한국) 학생이다.
4과,الْمَتْحَفِ,박물관,هُوَ الْآنَ فِي الْمَتْحَفِ الْوَطَنِيِّ الْمِصْرِيِّ.,그는 지금 이집트 국립 (박물관)에 있다.
4과,حَدِيثٌ,현대적,أَلْمَتْحَفُ كَبِيرٌ وَحَدِيثٌ.,그 박물관은 크고 (현대적)이다.
4과,الدُّكْتُورُ,박사,الدُّكْتُورُ مَايْكِل أُسْتَاذٌ أَمْرِيكِيٌّ.,(박사) 마이클은 미국인 교수이다.
4과,الْمَتْحَفِ,박물관,وَ مُدِيرُ الْمَتْحَفِ.,그리고 (박물관)장이다.
4과,الْمَدْخَلِ,입구,مَكْتَبُهُ الْجَدِيدُ هُوَ الْمَكْتَبُ الْقَرِيبُ مِنَ الْمَدْخَلِ.,그의 새 사무실은 (입구)에서 가까운 그 사무실이다.
4과,الْيَابَانِيِّ,일본인,مِين سُو فِي الْقَاهِرَةِ مَعَ صَدِيقِهِ الْيَابَانِيِّ أُوتَانِي,민 수는 카이로에서 그의 (일본인) 친구 오타니와 함께 있다.
4과,قَرِيبٌ,가깝습니다,أَلْمَتْحَفُ قَرِيبٌ مِنْ بَيْتِهِ.,박물관은 그의 집에서 (가깝습니다).
4과,لَوْنُهُ,색,وَلَوْنُهُ رَمَادِيٌّ.,그리고 그것의 (색)은 회색이다.
4과,الْمَكْتَبَةُ,도서관,الْمَكْتَبَةُ هُنَاكَ.,저기에 (도서관)이 있다.
4과,الْكَلْبُ,개,الْكَلْبُ تَحْتَ الطَّاوِلَةِ.,(개)가 탁자 아래에 있다.
4과,كِتَابٌ,책,عَلَى الْمَكْتَبِ كِتَابٌ.,책상 위에 (책)이 있다.
4과,الْأُسْتَاذُ,교수,الْأُسْتَاذُ مِنْ بَيْرُوتَ.,(교수)님은 베이루트 출신이다.
4과,بَيْتٌ,집,هَنَاكَ بَيْتٌ بِجَانِبِ الْبِنَاءِ.,건물 옆에 (집)이 있다.
4과,أَمْرِيكِيٌّ,미국인,الْمُوَظَّفُ أَمْرِيكِيٌّ.,(남)직원은 (미국인)이다.
4과,سُعُودِيَّةٌ,사우디인,الْمُوَظَّفَةُ سُعُودِيَّةٌ.,(여)직원은 (사우디인)이다.
4과,تُونِسِيٌّ,튀니지인,الْمُوَظَّفُ تُونِسِيٌّ.,(남)직원은 (튀니지인)이다.
4과,عِرَاقِيٌّ,이라크인,الْمُوَظَّفُ عِرَاقِيٌّ.,(남)직원은 (이라크인)이다.
4과,لُبْنَانِيٌّ,레바논인,الْمُوَظَّفُ لُبْنَانِيٌّ.,(남)직원은 (레바논인)이다.
4과,أُرْدُنِيٌّ,요르단인,الْمُوَظَّفُ أُرْدُنِيٌّ.,(남)직원은 (요르단인)이다.
4과,مَكْتَبِهِ,그의,سَمِيرٌ فِي مَكْتَبِهِ الْآنَ.,사미르는 지금 (그의) 사무실에 있다.
4과,مَكْتَبِهِمْ,그들의,الْبَنْكُ بِجَانِبِ مَكْتَبِهِمْ.,그 은행은 (그들의) 사무실 옆에 있다.
4과,فِيهِ,그,الْقَلَمُ فِيهِ.,펜은 (그) 안에 있다.
4과,كِتَابِي,나의,كِتَابِي., (나의) 책
4과,بُرْتُقَالِيٌّ,오렌지색,بُرْتُقَالٌ بُرْتُقَالِيٌّ., (오렌지색) 오렌지
4과,بُنِّيٌّ,갈색,بُنٌّ بُنِّيٌّ., (갈색) 커피 원두
4과,زَهْرِيٌّ,분홍색,زَهْرٌ زَهْرِيٌّ., (분홍색) 꽃
4과,بَنَفْسَجِيٌّ,보라색,بَنَفْسَجٌ بَنَفْسَجِيٌّ., (보라색) 제비꽃
4과,وَرْدِيٌّ,장미색,وَرْدٌ وَرْدِيٌّ., (장미색) 장미
4과,رَمَادِيٌّ,회색,رَمَادٌ رَمَادِيٌّ., (회색) 재
4과,ذَهَبِيٌّ,금색,ذَهَبٌ ذَهَبِيٌّ., (금색) 금
4과,فِضِّيٌّ,은색,فِضَّةٌ فِضِّيٌّ., (은색) 은
4과,نُحَاسِيٌّ,구리색,نُحَاسٌ نُحَاسِيٌّ., (구리색) 구리
5과,الْمَكْتَبِ,사무실,هُوَ مَوْجُودٌ فِي الْمَكْتَبِ.,그는 (사무실)에 있다.
5과,الْمَكْتَبَةِ,도서관,إِلَى الْمَكْتَبَةِ الْحَدِيثَةِ.,그 현대 (도서관)으로.
5과,رَخِيصٌ,저렴하다,السِّعْرُ رَخِيصٌ.,가격은 (저렴하다).
5과,كِتَابُ,책,كِتَابُ طَالِبٍ.,한 학생의 (책).
5과,مُوَظَّفُ,직원,مُوَظَّفُ شَرِكَةٍ.,회사 (직원).
5과,مَكْتَبَةِ,도서관,سَلِيمٌ فِي مَكْتَبَةِ الْجَامِعَةِ.,살림은 대학 (도서관)에 있다.
5과,قَرَأْتُ,읽었다,قَرَأْتُ كِتَابَ الْأُسْتَاذِ.,나는 그 교수님의 책을 (읽었다).
5과,أَبُو,아버지,أَبُو مُحَمَّدٍ.,무함마드의 (아버지).
5과,أَخِي,형제,سَيَّارَةُ أَخِي.,내 (형제)의 차.
5과,طَالِبَانِ,학생,طَالِبَانِ.,(학생) 두 명.
5과,طَالِبَتَيْنِ,여학생,يَا طَالِبَتَيْنِ.,두 (여학생)아.
5과,كُورِيُّونَ,한국인,كُورِيُّونَ.,(한국인)들.
5과,مُهَنْدِسُونَ,기술자,مُهَنْدِسُونَ.,(기술자)들.
5과,طَالِبَاتٌ,여학생,طَالِبَاتٌ.,(여학생)들.
5과,مُوَظَّفَاتُ,직원,مُوَظَّفَاتُ الْمَكْتَبِ.,그 사무실의 (직원)들(여성).
5과,زَوْجَتُهُ,부인,زَوْجَتُهُ كَرِيمَةُ.,그의 (부인)은 카리마이다.
5과,مُخْلِصُونَ,성실한,وَهُمْ مُخْلِصُونَ فِي عَمَلِهِمْ.,그리고 그들은 그들의 업무에 (성실한) 사람들이다.
5과,عَمَلِهِمْ,업무,وَهُمْ مُخْلِصُونَ فِي عَمَلِهِمْ.,그리고 그들은 그들의 (업무)에 성실한 사람들이다.
5과,طَيِّبَانِ,착한,هَذَانِ الطَّالِبَانِ طَيِّبَانِ.,이 두 학생은 (착한) 학생들이다.
5과,دَائِمًا,항상,أَنَا دَائِمًا مَعَهُمْ.,나는 (항상) 그들과 함께 있다.
5과,الْوَطَنِيَّةُ,국립,جَامِعَةُ لُبْنَانَ الْوَطَنِيَّةُ.,레바논 (국립)대학교.
5과,الْعَالَمِ,세계,فِي الْعَالَمِ الْعَرَبِيِّ.,아랍 (세계)에서.
5과,حَقَائِبُ,가방,حَقِيبَةٌ - حَقَائِبُ.,가방 - (가방)들.
5과,كُتُبٌ,책,كِتَابٌ - كُتُبٌ.,책 - (책)들.
5과,مُدَرِّسُونَ,선생님,مُدَرِّسُونَ تَارِيخٍ.,역사 (선생님)들.
5과,هَذَانِ,이,هَذَانِ الرَّجُلَانِ مِنَ الْكُوَيْتِ., (이) 두 남자는 쿠웨이트 출신이다.
5과,هَؤُلَاءِ,이,هَؤُلَاءِ مُحَاسِبُونَ., (이)들은 회계사들이다.
5과,أُولَئِكَ,저,أُولَئِكَ مُدَرِّسُونَ., (저)들은 선생님들이다.
5과,طَالِبِ,학생,كِتَابُ الطَّالِبِ جَدِيدٌ.,그 (학생)의 책은 새것이다.
5과,الْمُوَظَّفَةِ,직원,مَكْتَبُ الْمُوَظَّفَةِ قَرِيبٌ مِنْ هُنَا.,그 (직원)(여)의 사무실은 여기서 가깝다.
5과,اسْمُ,이름,اسْمُ الطَّالِبِ مُحَمَّدٌ.,그 학생의 (이름)은 무함마드이다.
5과,الْجَامِعَةِ,대학,مَكْتَبَةُ الْجَامِعَةِ حَدِيثَةٌ.,그 (대학) 도서관은 현대적이다.
5과,الْغُرْفَةُ,방,هَذِهِ الْغُرْفَةُ كَبِيرَةٌ.,이 (방)은 크다.
5과,الْمَكْتَبِ,책상,كِتَابُ الْأُسْتَاذِ عَلَى الْمَكْتَبِ.,교수님의 책은 (책상) 위에 있다.
5과,جَامِعَةِ,대학,سَلِيمٌ طَالِبٌ فِي جَامِعَةِ الْقَاهِرَةِ.,살림은 카이로 (대학)의 학생이다.
5과,لُبْنَانَ,레바논,مُوَظَّفُ الْمَكْتَبِ مِنْ لُبْنَانَ.,그 사무실 직원은 (레바논) 출신이다.
5과,الْجَدِيدَةِ,새로운,مَكْتَبُ الْمُوَظَّفَةِ الْجَدِيدَةِ فِي الطَّابِقِ الرَّابِعِ.,그 (새로운) 여직원의 사무실은 4층에 있다.
5과,الْعَالَمُ,세계,عُنْوَانُ هَذَا الْكِتَابِ الْجَدِيدِ هُوَ كُورِيَا وَالْعَالَمُ الْعَرَبِيُّ.,이 새 책의 제목은 한국과 아랍 (세계)이다.
5과,مَشْهُورٌ,유명한,أَلْمُمَثِّلُ مَشْهُورٌ.,그 배우는 (유명한) 사람이다.
5과,أَجْنَبِيَّةٌ,외국인,فِي الصَّفِّ هُنَاكَ طَالِبَةٌ أَجْنَبِيَّةٌ.,교실에 (외국인) 여학생이 한 명 있다.
5과,عَرَبِيٌّ,아랍,هُوَ مُوَظَّفٌ عَرَبِيٌّ.,그는 (아랍) 직원이다.
5과,الْآنَ,지금,أَلْمُدَرِّسُ فِي الْمَدْرَسَةِ الْآنَ.,선생님은 (지금) 학교에 계신다.
5과,الْجَدِيدَةُ,새,أَلْمُدَرِّسَةُ الْجَدِيدَةُ فِي الْمَكْتَبِ.,그 (새) 선생님(여)은 사무실에 있다.
5과,الْأَجْنَبِيُّ,외국인,أَلْمُوَظَّفُ الْأَجْنَبِيُّ مِنْ مِصْرَ.,그 (외국인) 직원은 이집트 출신이다.
5과,الْجَدِيدَةُ,새,أَلْحَافِلَةُ الْجَدِيدَةُ أَمَامَ الْبِنَاءِ.,그 (새) 버스는 건물 앞에 있다.
5과,الْأَوْلَادُ,아이들,الْأَوْلَادُ صِغَارٌ.,(아이들)은 작다.
5과,أَبْنِيَةٌ,건물,أَمَامَ الْبِنَاءِ هُنَاكَ أَبْنِيَةٌ.,(건물) 앞에 건물들이 있다.
5과,صُوَرٌ,사진,هُنَاكَ صُوَرٌ فَوْقَ الْمَكْتَبِ.,책상 위에 (사진)들이 있다.
5과,طُلَّابٌ,남학생,فِي الصَّفِّ هُنَاكَ طُلَّابٌ وَطَالِبَاتٌ.,교실에 (남학생)들과 여학생들이 있다.
5과,مَكَاتِبُ,사무실,مَكَاتِبُ الْمُدَرِّسِينَ قَرِيبَةٌ مِنْ هُنَا.,선생님들의 (사무실)들은 여기서 가깝다.
5과,طَالِبَاتٍ,여학생,سَلِيمٌ مَعَ طَالِبَاتٍ جُدُدٍ.,살림은 새 (여학생)들과 함께 있다.
5과,هٰذَا,이,هٰذَا طَالِبٌ عُمَانِيٌّ، وَهٰذِهِ طَالِبَةٌ إِمَارَاتِيَّةٌ.,"(이) 남학생은 오만 사람이고, 이 여학생은 에미리트 사람이다."
5과,ذٰلِكَ,저,ذٰلِكَ مُدَرِّسٌ، وَتِلْكَ أُسْتَاذَةٌ.,"(저) 남자는 선생님이고, 저 여자는 교수님이다."
5과,الْجَامِعَةُ,대학,هٰذِهِ الْجَامِعَةُ قَرِيبَةٌ، وَتِلْكَ الْجَامِعَةُ بَعِيدَةٌ.,"이 대학은 가깝고, 저 (대학)은 멀다."
5과,هَؤُلَاءِ,이,هَؤُلَاءِ صِينِيُّونَ، وَأُولَئِكَ يَابَانِيُّونَ.,"(이) 사람들은 중국인들이고, 저 사람들은 일본인들이다."
5과,الطَّالِبَانِ,학생,هَذَانِ الطَّالِبَانِ مِنَ السُّعُودِيَّةِ.,이 두 (학생)은 사우디아라비아 출신이다.
5과,الرَّجُلَانِ,남자,هَذَانِ الرَّجُلَانِ مِنَ الْكُوَيْتِ.,이 두 (남자)는 쿠웨이트 출신이다.
5과,الطَّالِبَتَانِ,여학생,هَاتَانِ الطَّالِبَتَانِ عِرَاقِيَّتَانِ.,이 두 (여학생)은 이라크 출신이다.
5과,الْمُوَظَّفَيْنِ,직원,مَا عُنْوَانُ هَذَيْنِ الْمُوَظَّفَيْنِ؟,이 두 (직원)의 주소는 무엇입니까?
5과,الْبِنْتَيْنِ,소녀,مَا اسْمُ هَاتَيْنِ الْبِنْتَيْنِ؟,이 두 (소녀)의 이름은 무엇입니까?
5과,مُحَاسِبُونَ,회계사,هَؤُلَاءِ مُحَاسِبُونَ.,이분들은 (회계사)들입니다.
5과,مُدَرِّسُونَ,선생님,أُولَئِكَ مُدَرِّسُونَ.,저분들은 (선생님)들입니다.
5과,لَاعِبَاتٌ,선수,هَؤُلَاءِ لَاعِبَاتٌ تُونِسِيَّاتٌ.,이분들은 튀니지 (선수)들입니다.
5과,طَالِبَاتٌ,학생,أُولَئِكَ طَالِبَاتٌ مِصْرِيَّاتٌ.,저분들은 이집트 (학생)들입니다.
5과,لِذٰلِكَ,그러므로,لِذٰلِكَ.," (그러므로), 그래서"
5과,ذٰلِكَ,불구하고,مَعَ ذٰلِكَ.,그럼에도 (불구하고)
5과,بَعْدَ,다음,بَعْدَ ذٰلِكَ., (다음)으로
5과,تِلْكَ,그,فِي تِلْكَ السَّنَةِ., (그) 해에 (과거/미래)
5과,هٰذِهِ,올,فِي هٰذِهِ السَّنَةِ., (올) 해에
6과,الْعُطْلَةِ,휴가,فِي هٰذِهِ الْعُطْلَةِ الصَّيْفِيَّةِ، سَأَذْهَبُ مَعَ أُسْرَتِي إِلَى مِصْرَ.,"이번 여름 (휴가)에, 나는 가족과 함께 이집트로 갈 것이다."
6과,أَجْمَعُ,모으고,لِذٰلِكَ أَجْمَعُ مَعْلُومَاتٍ سِيَاحِيَّةً عَنْهَا.,그래서 나는 그곳에 대한 여행 정보를 (모으고) 있다.
6과,دَوْلَةٌ,국가,مِصْرُ دَوْلَةٌ عَرِيقَةٌ وَكَبِيرَةٌ.,이집트는 유서 깊고 큰 (국가)이다.
6과,عَاصِمَتُهَا,수도,عَاصِمَتُهَا الْقَاهِرَةُ.,그곳의 (수도)는 카이로이다.
