id,level,type,arabic_text,korean_meaning,root,form,pattern,gender,phrase_components,singular_form,sentence_analysis,cefr
10033,1,vocabulary,عَشْرُ,10명,,0,,,,,,A1
10034,1,vocabulary,قَطَرَ,카타르,,0,,,,,,A1
10035,1,vocabulary,كَتَبَ,썼다,,0,,,,,,A1
10036,1,vocabulary,كُتُبٌ,책,,0,,,,,,A1
10037,1,vocabulary,كُنَّا,이었다,,0,,,,,,A1
10038,1,vocabulary,كُنْتَ,하고,,0,,,,,,A1
10039,1,vocabulary,كُنْتُ,이었다,,0,,,,,,A1
10040,1,vocabulary,لَسْنَ,아니다,,0,,,,,,A1
10041,1,vocabulary,مِثْلُ,처럼,,0,,,,,,A1
10042,1,vocabulary,هٰذِهِ,올,,0,,,,,,A1
10043,1,vocabulary,جَلَسَ,,ج-ل-س,1,فَعَلَ,,,,,A1
10044,1,vocabulary,سَءَلَ,,س-ء-ل,1,فَعَلَ,,,,,A1
10045,1,vocabulary,سَأَلَ,,س-أ-ل,1,فَعَلَ,,,,,A1
10046,1,vocabulary,وَقَفَ,,و-ق-ف,1,فَعَلَ,,,,,A1
10047,1,vocabulary,مَمََّ,,م-م-,2,فَعَّلَ,,,,,A1
10048,1,vocabulary,أَحَدًا,누군가,,0,,,,,,A1
10049,1,vocabulary,أَنَامُ,잔다,,0,,,,,,A1
10050,1,vocabulary,بَعِيدٌ,멉니다,,0,,,,,,A1
10051,1,vocabulary,شَاعِرٌ,시인,,0,,,,,,A1
10052,1,vocabulary,شَاهَدَ,보았다,,0,,,,,,A1
10053,1,vocabulary,فَأَنَا,왜냐하면,,0,,,,,,A1
10054,1,vocabulary,كَأَنَّ,마치~인것처럼,,0,,,,,,A1
10055,1,vocabulary,كَانَتِ,없었다,,0,,,,,,A1
10056,1,vocabulary,كَانَتْ,이었다,,0,,,,,,A1
10057,1,vocabulary,كَانُوا,이었다,,0,,,,,,A1
10058,1,vocabulary,كُتُبًا,책,,0,,,,,,A1
10059,1,vocabulary,كِتَابٌ,책,,0,,,,,,A1
10060,1,vocabulary,كِتَابُ,책,,0,,,,,,A1
10061,1,vocabulary,لَسْنَا,있지,,0,,,,,,A1
10062,1,vocabulary,مَاءَةَ,,م-ء-ة,3,فَاعَلَ,,,,,A1
10063,1,vocabulary,مَكَّةَ,,م-ك-ة,2,فَعَّلَ,,,,,A1
10064,1,vocabulary,أَذْهَبُ,간다,,0,,,,,,A1
10065,1,vocabulary,أَلْعَبُ,합니다,,0,,,,,,A1
10066,1,vocabulary,الشَّايَ,차,,0,,,,,,A1
10067,1,vocabulary,تَأْكُلُ,먹습니까,,0,,,,,,A1
10068,1,vocabulary,تَعْرِفُ,아니,,0,,,,,,A1
10069,1,vocabulary,تُلَبِّي,부응하는,,0,,,,,,A1
10070,1,vocabulary,ثَمَانِي,8명,,0,,,,,,A1
10071,1,vocabulary,خَمْسَةُ,5명,,0,,,,,,A1
10072,1,vocabulary,زَوْجَةُ,부인,,0,,,,,,A1
10073,1,vocabulary,سَمِعَتْ,들었다,,0,,,,,,A1
10074,1,vocabulary,سَمِعُوا,들었다,,0,,,,,,A1
10075,1,vocabulary,سَيَصِلُ,도착할,,0,,,,,,A1
10076,1,vocabulary,عَشَرَةَ,10권,,0,,,,,,A1
10077,1,vocabulary,عُطْلَةَ,휴가,,0,,,,,,A1
10078,1,vocabulary,عِنْدَكَ,어디,,0,,,,,,A1
10079,1,vocabulary,كَتَبْتُ,썼다,,0,,,,,,A1
10080,1,vocabulary,كُنْتُمْ,이었다,,0,,,,,,A1
10081,1,vocabulary,كِتَابًا,책,,0,,,,,,A1
10082,1,vocabulary,كِتَابِي,나의,,0,,,,,,A1
10083,1,vocabulary,لَسْتُمْ,않다,,0,,,,,,A1
10084,1,vocabulary,وِسَامًا,훈장,,0,,,,,,A1
10085,1,vocabulary,يَأْكُلُ,먹지,,0,,,,,,A1
10086,1,vocabulary,أَبْتَدَ,,ب-ت-د,4,أَفْعَلَ,,,,,A1
10087,1,vocabulary,الصَّيْفِ,여름,,0,,,,,,A1
10088,1,vocabulary,الْوَلَدُ,소년,,0,,,,,,A1
10089,1,vocabulary,الْيَوْمَ,오늘,,0,,,,,,A1
10090,1,vocabulary,بَعِيدَةٌ,멉니다,,0,,,,,,A1
10091,1,vocabulary,بَيْرُوتَ,베이루트,,0,,,,,,A1
10092,1,vocabulary,تُعَيِّنُ,임명한다,,0,,,,,,A1
10093,1,vocabulary,تُقَرِّرُ,정한다,,0,,,,,,A1
10094,1,vocabulary,تُوَاجِهُ,직면한다,,0,,,,,,A1
10095,1,vocabulary,ثَلَاثَةُ,3명,,0,,,,,,A1
10096,1,vocabulary,خَمْسُونَ,50명,,0,,,,,,A1
10097,1,vocabulary,سَتَكُونُ,있을,,0,,,,,,A1
10098,1,vocabulary,سَنَكُونُ,될,,0,,,,,,A1
10099,1,vocabulary,سَيَزُورُ,방문할,,0,,,,,,A1
10100,1,vocabulary,سَيَكُونُ,될,,0,,,,,,A1
10101,1,vocabulary,عَائِلَةِ,가족,,0,,,,,,A1
10102,1,vocabulary,عَلَيْهَا,위,,0,,,,,,A1
10103,1,vocabulary,عَلَّمْتُ,가르쳤다,,0,,,,,,A1
10104,1,vocabulary,عَيَّنَتِ,임명했다,,0,,,,,,A1
10105,1,vocabulary,لَسْتُنَّ,않다,,0,,,,,,A1
10106,1,vocabulary,السَّاعَةُ,몇 시,,0,,,,,,A1
10107,1,vocabulary,السَّاكِنَ,거주자,,0,,,,,,A1
10108,1,vocabulary,تَأْكُلْنَ,먹습니다,,0,,,,,,A1
10109,1,vocabulary,تَنُّورَةً,치마,,0,,,,,,A1
10110,1,vocabulary,زَوْجَتُهُ,부인,,0,,,,,,A1
10111,1,vocabulary,سَأَذْهَبُ,갈,,0,,,,,,A1
10112,1,vocabulary,سَأَعْمَلُ,일할,,0,,,,,,A1
10113,1,vocabulary,سَتَنْجَحُ,합격할,,0,,,,,,A1
10114,1,vocabulary,سَيَحْضُرُ,올,,0,,,,,,A1
10115,1,vocabulary,سَيَدْرُسُ,공부할,,0,,,,,,A1
10116,1,vocabulary,سَيَرْجِعُ,돌아갈,,0,,,,,,A1
10117,1,vocabulary,مَدْرَسَةٌ,학교,,0,,,,,,A1
10118,1,vocabulary,اِنْتَهَيَ,,ن-ه-ي,8,اِفْتَعَلَ,,,,,A1
10119,1,vocabulary,مَشْهُورَةٌ,유명한,,0,,,,,,A1
10120,1,vocabulary,الرَّابِعَةُ,4시,,0,,,,,,A1
10121,1,vocabulary,الرَّجُلَانِ,남자,,0,,,,,,A1
10122,1,vocabulary,السَّادِسَةَ,6시,,0,,,,,,A1
10123,1,vocabulary,الضِّيَافَةِ,환대,,0,,,,,,A1
10124,1,vocabulary,الْوَاحِدَةُ,1시,,0,,,,,,A1
10125,1,vocabulary,سَتَكُونِينَ,될,,0,,,,,,A1
10126,1,vocabulary,سَيَكُونُونَ,될,,0,,,,,,A1
10127,1,vocabulary,الطَّالِبَانِ,학생,,0,,,,,,A1
10128,1,vocabulary,الْبِنْتَيْنِ,소녀,,0,,,,,,A1
10129,1,vocabulary,سَيَرْجِعُونَ,돌아갈,,0,,,,,,A1
10130,1,vocabulary,قِرَاءَتَيْنِ,두번읽음,,0,,,,,,A1
10131,1,vocabulary,لِأُسْرَتِهَا,가족,,0,,,,,,A1
10132,1,vocabulary,أَرْبَعُمِئَةِ,400권,,0,,,,,,A1
10133,1,vocabulary,الْعَرَبِيَّةَ,아랍어,,0,,,,,,A1
10134,1,vocabulary,الطَّالِبَتَانِ,여학생,,0,,,,,,A1
10135,1,vocabulary,خَمْسَ عَشْرَةَ,15명,,0,,,,,,A1
10136,1,vocabulary,سَبْعَةَ عَشَرَ,17명,,0,,,,,,A1
10137,1,vocabulary,خَمْسِينَ مِلْيُونَ,5천만,,0,,,,,,A1
10138,1,vocabulary,خَمْسَةٌ وَعِشْرُونَ,25명,,0,,,,,,A1
10139,1,vocabulary,فَ,그러면,,0,,,,,,A2
10140,1,vocabulary,لَ,~텐데,,0,,,,,,A2
10141,1,vocabulary,إِنْ,~한다면,,0,,,,,,A2
10142,1,vocabulary,بِعْ,팔아라,,0,,,,,,A2
10143,1,vocabulary,ثِقْ,믿어라,,0,,,,,,A2
10144,1,vocabulary,جِدْ,찾아라,,0,,,,,,A2
10145,1,vocabulary,زُرْ,방문해라,,0,,,,,,A2
10146,1,vocabulary,ضَعِ,두어라,,0,,,,,,A2
10147,1,vocabulary,عُدْ,돌아가라,,0,,,,,,A2
10148,1,vocabulary,عِدْ,약속해라,,0,,,,,,A2
10149,1,vocabulary,عِشْ,살아라,,0,,,,,,A2
10150,1,vocabulary,قُمْ,일어나라,,0,,,,,,A2
10151,1,vocabulary,مَنْ,사람,,0,,,,,,A2
10152,1,vocabulary,أَرَى,본다,,0,,,,,,A2
10153,1,vocabulary,أَيُّ,어떤,,0,,,,,,A2
10154,1,vocabulary,أَيِّ,어느,,0,,,,,,A2
10155,1,vocabulary,إِنَّ,정말로,,0,,,,,,A2
10156,1,vocabulary,اقْضِ,보내라,,0,,,,,,A2
10157,1,vocabulary,بَاعَ,팔았다,,0,,,,,,A2
10158,1,vocabulary,جَاءَ,왔다,,0,,,,,,A2
10159,1,vocabulary,جَرَى,달렸다,,0,,,,,,A2
10160,1,vocabulary,حَلِّ,해결,,0,,,,,,A2
10161,1,vocabulary,خَافَ,무서워했다,,0,,,,,,A2
10162,1,vocabulary,دَعَا,초대했다,,0,,,,,,A2
10163,1,vocabulary,رَمَى,던졌다,,0,,,,,,A2
10164,1,vocabulary,سَارَ,걸었다,,0,,,,,,A2
10165,1,vocabulary,سَقَى,물주었다,,0,,,,,,A2
10166,1,vocabulary,شَفَى,치료했다,,0,,,,,,A2
10167,1,vocabulary,شَكَا,불평했다,,0,,,,,,A2
10168,1,vocabulary,صَارَ,되었다,,0,,,,,,A2
10169,1,vocabulary,عَادَ,돌아왔다,,0,,,,,,A2
10170,1,vocabulary,عَاشَ,살았다,,0,,,,,,A2
10171,1,vocabulary,قَامَ,일어났다,,0,,,,,,A2
10172,1,vocabulary,قَضَى,보냈다,,0,,,,,,A2
10173,1,vocabulary,كَمَا,~대로,,0,,,,,,A2
10174,1,vocabulary,كُلَّ,매일,,0,,,,,,A2
10175,1,vocabulary,كُلُّ,모든,,0,,,,,,A2
10176,1,vocabulary,كُلِّ,모든,,0,,,,,,A2
10177,1,vocabulary,مَتَى,언제,,0,,,,,,A2
10178,1,vocabulary,مَشَى,걸었다,,0,,,,,,A2
10179,1,vocabulary,نَامَ,잤다,,0,,,,,,A2
10180,1,vocabulary,أَخْذِ,찍는,,0,,,,,,A2
10181,1,vocabulary,أَكُلُ,먹는다,,0,,,,,,A2
10182,1,vocabulary,أَكُنْ,아니었다,,0,,,,,,A2
10183,1,vocabulary,إِلَّا,전,,0,,,,,,A2
10184,1,vocabulary,اُدْعُ,초대해라,,0,,,,,,A2
10185,1,vocabulary,اُرْجُ,바라라,,0,,,,,,A2
10186,1,vocabulary,اُشْكُ,호소해라,,0,,,,,,A2
10187,1,vocabulary,اُعْفُ,용서해라,,0,,,,,,A2
10188,1,vocabulary,اِبْقَ,남아라,,0,,,,,,A2
10189,1,vocabulary,اِبْنِ,지어라,,0,,,,,,A2
10190,1,vocabulary,اِجْرِ,달려라,,0,,,,,,A2
10191,1,vocabulary,اِخْشَ,두려워해라,,0,,,,,,A2
10192,1,vocabulary,اِرْضَ,만족해라,,0,,,,,,A2
10193,1,vocabulary,اِرْمِ,던져라,,0,,,,,,A2
10194,1,vocabulary,اِرْوِ,이야기해라,,0,,,,,,A2
10195,1,vocabulary,اِسْقِ,물줘라,,0,,,,,,A2
10196,1,vocabulary,اِشْفِ,치료해라,,0,,,,,,A2
10197,1,vocabulary,اِشْوِ,구워라,,0,,,,,,A2
10198,1,vocabulary,اِطْوِ,접어라,,0,,,,,,A2
10199,1,vocabulary,اِلْقَ,만나라,,0,,,,,,A2
10200,1,vocabulary,اِمْشِ,걸어라,,0,,,,,,A2
10201,1,vocabulary,اِنْسَ,잊어라,,0,,,,,,A2
10202,1,vocabulary,اِهْدِ,인도해라,,0,,,,,,A2
10203,1,vocabulary,بَدَأَ,시작했다,,0,,,,,,A2
10204,1,vocabulary,بَعْضَ,일부,,0,,,,,,A2
10205,1,vocabulary,بَعْضُ,몇몇,,0,,,,,,A2
10206,1,vocabulary,بَعْضِ,일부,,0,,,,,,A2
10207,1,vocabulary,بَقِيَ,남았다,,0,,,,,,A2
10208,1,vocabulary,بَيْنَ,사이,,0,,,,,,A2
10209,1,vocabulary,بُرْجُ,탑,,0,,,,,,A2
10210,1,vocabulary,بِكَمْ,얼마,,0,,,,,,A2
10211,1,vocabulary,تَخَفْ,걱정,,0,,,,,,A2
10212,1,vocabulary,تَكُنْ,아니었다,,0,,,,,,A2
10213,1,vocabulary,حَتَّى,때까지,,0,,,,,,A2
10214,1,vocabulary,حَجَرَ,바위,,0,,,,,,A2
10215,1,vocabulary,حَدَثَ,일,,0,,,,,,A2
10216,1,vocabulary,حَصَلَ,취득했다,,0,,,,,,A2
10217,1,vocabulary,حَضَرَ,참석했다,,0,,,,,,A2
10218,1,vocabulary,حَقًّا,권리,,0,,,,,,A2
10219,1,vocabulary,خَرَجَ,나갔다,,0,,,,,,A2
10220,1,vocabulary,خَلْفَ,뒤,,0,,,,,,A2
10221,1,vocabulary,دَخَلَ,들어왔을,,0,,,,,,A2
10222,1,vocabulary,دَرَسَ,공부했다,,0,,,,,,A2
10223,1,vocabulary,ذَهَبَ,갔다,,0,,,,,,A2
10224,1,vocabulary,ذٰلِكَ,저,,0,,,,,,A2
10225,1,vocabulary,رَجَعَ,돌아갔다,,0,,,,,,A2
10226,1,vocabulary,رَكَضَ,뛰었다,,0,,,,,,A2
10227,1,vocabulary,زُرْتُ,방문했다,,0,,,,,,A2
10228,1,vocabulary,سَامِي,사미,,0,,,,,,A2
10229,1,vocabulary,سَكَنَ,살았다,,0,,,,,,A2
10230,1,vocabulary,سَكَنِ,주거지,,0,,,,,,A2
10231,1,vocabulary,صَعْبٌ,어려운,,0,,,,,,A2
10232,1,vocabulary,صُوَرٌ,사진,,0,,,,,,A2
10233,1,vocabulary,طَقْسُ,날씨,,0,,,,,,A2
10234,1,vocabulary,عَدَدُ,수,,0,,,,,,A2
10235,1,vocabulary,عَنْهُ,그것,,0,,,,,,A2
10236,1,vocabulary,غَيْرُ,아닌,,0,,,,,,A2
10237,1,vocabulary,قَبْلُ,전에,,0,,,,,,A2
10238,1,vocabulary,قَرَأَ,읽었다,,0,,,,,,A2
10239,1,vocabulary,كُلًّا,다,,0,,,,,,A2
10240,1,vocabulary,مِئَةُ,100권,,0,,,,,,A2
10241,1,vocabulary,مِصْرَ,이집트,,0,,,,,,A2
10242,1,vocabulary,نَجَحَ,합격했다,,0,,,,,,A2
10243,1,vocabulary,نَحْلَ,꿀벌,,0,,,,,,A2
10244,1,vocabulary,نَسِيَ,잊었다,,0,,,,,,A2
10245,1,vocabulary,نَشَرَ,출판했다,,0,,,,,,A2
10246,1,vocabulary,نَقْلَ,옮겨달라고,,0,,,,,,A2
10247,1,vocabulary,نِمْتُ,잤다,,0,,,,,,A2
10248,1,vocabulary,وَجَدَ,찾았다,,0,,,,,,A2
10249,1,vocabulary,وَسَطِ,중심,,0,,,,,,A2
10250,1,vocabulary,وَصَلَ,도착했다,,0,,,,,,A2
10251,1,vocabulary,وَضَعَ,두었다,,0,,,,,,A2
10252,1,vocabulary,وَعَدَ,약속했다,,0,,,,,,A2
10253,1,vocabulary,جَعَلَ,,ج-ع-ل,1,فَعَلَ,,,,,A2
10254,1,vocabulary,جَمَعَ,,ج-م-ع,1,فَعَلَ,,,,,A2
10255,1,vocabulary,حَسَنَ,,ح-س-ن,1,فَعَلَ,,,,,A2
10256,1,vocabulary,حَفَظَ,,ح-ف-ظ,1,فَعَلَ,,,,,A2
10257,1,vocabulary,حَكَمَ,,ح-ك-م,1,فَعَلَ,,,,,A2
10258,1,vocabulary,خَدَمَ,,خ-د-م,1,فَعَلَ,,,,,A2
10259,1,vocabulary,خَلَفَ,,خ-ل-ف,1,فَعَلَ,,,,,A2
10260,1,vocabulary,ذَكَرَ,,ذ-ك-ر,1,فَعَلَ,,,,,A2
10261,1,vocabulary,رَبَطَ,,ر-ب-ط,1,فَعَلَ,,,,,A2
10262,1,vocabulary,رَسَمَ,,ر-س-م,1,فَعَلَ,,,,,A2
10263,1,vocabulary,رَكَبَ,,ر-ك-ب,1,فَعَلَ,,,,,A2
10264,1,vocabulary,زَرَعَ,,ز-ر-ع,1,فَعَلَ,,,,,A2
10265,1,vocabulary,سَبَبَ,,س-ب-ب,1,فَعَلَ,,,,,A2
10266,1,vocabulary,سَبَحَ,,س-ب-ح,1,فَعَلَ,,,,,A2
10267,1,vocabulary,سَمَعَ,,س-م-ع,1,فَعَلَ,,,,,A2
10268,1,vocabulary,شَرَبَ,,ش-ر-ب,1,فَعَلَ,,,,,A2
10269,1,vocabulary,نَزَلَ,,ن-ز-ل,1,فَعَلَ,,,,,A2
10270,1,vocabulary,نَصَرَ,,ن-ص-ر,1,فَعَلَ,,,,,A2
10271,1,vocabulary,نَظَرَ,,ن-ظ-ر,1,فَعَلَ,,,,,A2
10272,1,vocabulary,نَفَسَ,,ن-ف-س,1,فَعَلَ,,,,,A2
10273,1,vocabulary,نَقَلَ,,ن-ق-ل,1,فَعَلَ,,,,,A2
10274,1,vocabulary,نَهَيَ,,ن-ه-ي,1,فَعَلَ,,,,,A2
10275,1,vocabulary,أَحْلَى,더달콤한,,0,,,,,,A2
10276,1,vocabulary,أَدْعُو,초대한다,,0,,,,,,A2
10277,1,vocabulary,أَرْجُو,바란다,,0,,,,,,A2
10278,1,vocabulary,أَزُورُ,방문한다,,0,,,,,,A2
10279,1,vocabulary,أَظُنُّ,생각한다,,0,,,,,,A2
10280,1,vocabulary,أَعْطَى,주었다,,0,,,,,,A2
10281,1,vocabulary,أَعْلَى,가장높은,,0,,,,,,A2
10282,1,vocabulary,أَغْلَى,더비싼,,0,,,,,,A2
10283,1,vocabulary,أَمَامَ,앞에,,0,,,,,,A2
10284,1,vocabulary,أَيْضًا,또한,,0,,,,,,A2
10285,1,vocabulary,إِلَيَّ,나,,0,,,,,,A2
10286,1,vocabulary,تَابَعَ,계속했다,,0,,,,,,A2
10287,1,vocabulary,تَزُورُ,방문한다,,0,,,,,,A2
10288,1,vocabulary,تَكُونُ,있을,,0,,,,,,A2
10289,1,vocabulary,ثَلْجًا,얼음,,0,,,,,,A2
10290,1,vocabulary,جَاءَتْ,왔다,,0,,,,,,A2
10291,1,vocabulary,جَدِيدٌ,새것,,0,,,,,,A2
10292,1,vocabulary,جَمِيعُ,모든,,0,,,,,,A2
10293,1,vocabulary,جَنُوبِ,남쪽,,0,,,,,,A2
10294,1,vocabulary,حَاوَلَ,시도했다,,0,,,,,,A2
10295,1,vocabulary,حَدِيثٌ,현대적,,0,,,,,,A2
10296,1,vocabulary,حَدَّدَ,정했다,,0,,,,,,A2
10297,1,vocabulary,حُضُورِ,참석,,0,,,,,,A2
10298,1,vocabulary,خَارِجَ,밖에서,,0,,,,,,A2
10299,1,vocabulary,دَاخِلَ,안에서,,0,,,,,,A2
10300,1,vocabulary,رَاحَةً,휴식,,0,,,,,,A2
10301,1,vocabulary,رَخِيصٌ,저렴하다,,0,,,,,,A2
10302,1,vocabulary,زَارَتْ,방문했다,,0,,,,,,A2
10303,1,vocabulary,زَارُوا,방문했다,,0,,,,,,A2
10304,1,vocabulary,سَاعَةً,시간,,0,,,,,,A2
10305,1,vocabulary,سَرِيرٌ,침대,,0,,,,,,A2
10306,1,vocabulary,شَمَالِ,북쪽,,0,,,,,,A2
10307,1,vocabulary,صَارَتِ,되었다,,0,,,,,,A2
10308,1,vocabulary,طَالِبِ,학생,,0,,,,,,A2
10309,1,vocabulary,طَبِيبٌ,의사,,0,,,,,,A2
10310,1,vocabulary,طَرِيقِ,길,,0,,,,,,A2
10311,1,vocabulary,طَعَامٍ,음식,,0,,,,,,A2
10312,1,vocabulary,عَادَةً,보통,,0,,,,,,A2
10313,1,vocabulary,عُمَانَ,오만,,0,,,,,,A2
10314,1,vocabulary,غَاضِبٌ,화난,,0,,,,,,A2
10315,1,vocabulary,غَيَّرَ,바꾸었니,,0,,,,,,A2
10316,1,vocabulary,قَابَلَ,만났다,,0,,,,,,A2
10317,1,vocabulary,قَصْرًا,궁전,,0,,,,,,A2
10318,1,vocabulary,قُوَّةُ,힘,,0,,,,,,A2
10319,1,vocabulary,لٰكِنَّ,그러나,,0,,,,,,A2
10320,1,vocabulary,مَعَهَا,그녀,,0,,,,,,A2
10321,1,vocabulary,مِئَاتٌ,수백,,0,,,,,,A2
10322,1,vocabulary,مِئَتَا,200명,,0,,,,,,A2
10323,1,vocabulary,نَاجِحٌ,합격,,0,,,,,,A2
10324,1,vocabulary,نَسِيتُ,잊었다,,0,,,,,,A2
10325,1,vocabulary,هَاتِفٌ,전화기,,0,,,,,,A2
10326,1,vocabulary,هَذَانِ,이,,0,,,,,,A2
10327,1,vocabulary,هُنَاكَ,그곳,,0,,,,,,A2
10328,1,vocabulary,بَدَّلَ,,ب-د-ل,2,فَعَّلَ,,,,,A2
10329,1,vocabulary,سَأَّلَ,,س-أ-ل,2,فَعَّلَ,,,,,A2
10330,1,vocabulary,سَابَحَ,,س-ب-ح,3,فَاعَلَ,,,,,A2
10331,1,vocabulary,سَاعَدَ,,س-ع-د,3,فَاعَلَ,,,,,A2
10332,1,vocabulary,سَافَرَ,,س-ف-ر,3,فَاعَلَ,,,,,A2
10333,1,vocabulary,سَالَمَ,,س-ل-م,3,فَاعَلَ,,,,,A2
10334,1,vocabulary,سَلَّمَ,,س-ل-م,2,فَعَّلَ,,,,,A2
10335,1,vocabulary,طَبَّخَ,,ط-ب-خ,2,فَعَّلَ,,,,,A2
10336,1,vocabulary,عَامَلَ,,ع-م-ل,3,فَاعَلَ,,,,,A2
10337,1,vocabulary,عَرَّفَ,,ع-ر-ف,2,فَعَّلَ,,,,,A2
10338,1,vocabulary,عَلَّمَ,,ع-ل-م,2,فَعَّلَ,,,,,A2
10339,1,vocabulary,نَا َلَ,,ن- -ل,3,فَاعَلَ,,,,,A2
10340,1,vocabulary,وَصَّلَ,,و-ص-ل,2,فَعَّلَ,,,,,A2
10341,1,vocabulary,وَقَّفَ,,و-ق-ف,2,فَعَّلَ,,,,,A2
10342,1,vocabulary,أَعْلََ,,ع-ل-,4,أَفْعَلَ,,,,,A2
10343,1,vocabulary,أَبْحَثُ,찾고,,0,,,,,,A2
10344,1,vocabulary,أَجْمَعُ,모으고,,0,,,,,,A2
10345,1,vocabulary,أَجْمَلُ,가장아름다운,,0,,,,,,A2
10346,1,vocabulary,أَحْضَرَ,가져왔다,,0,,,,,,A2
10347,1,vocabulary,أَخِيرًا,마침내,,0,,,,,,A2
10348,1,vocabulary,أَخْبَرَ,알렸다,,0,,,,,,A2
10349,1,vocabulary,أَخْرَجَ,꺼냈다,,0,,,,,,A2
10350,1,vocabulary,أَخْرُجُ,나간다,,0,,,,,,A2
10351,1,vocabulary,أَدْرُسْ,공부하지,,0,,,,,,A2
10352,1,vocabulary,أَرْجِعُ,돌아온다,,0,,,,,,A2
10353,1,vocabulary,أَرْجِعْ,돌아가지,,0,,,,,,A2
10354,1,vocabulary,أَرْحَبَ,환영할,,0,,,,,,A2
10355,1,vocabulary,أَرْسَلَ,보냈다,,0,,,,,,A2
10356,1,vocabulary,أَرْكَبُ,탄다,,0,,,,,,A2
10357,1,vocabulary,أَسْرَعُ,더빠른,,0,,,,,,A2
10358,1,vocabulary,أَسْكُنُ,산다,,0,,,,,,A2
10359,1,vocabulary,أَسْمَعُ,듣고,,0,,,,,,A2
10360,1,vocabulary,أَصْبَحَ,되었다,,0,,,,,,A2
10361,1,vocabulary,أَطْبُخُ,요리한다,,0,,,,,,A2
10362,1,vocabulary,أَطْوَلُ,가장키가큰,,0,,,,,,A2
10363,1,vocabulary,أَعْلَنَ,발표했다,,0,,,,,,A2
10364,1,vocabulary,أَعْمَلُ,일한다,,0,,,,,,A2
10365,1,vocabulary,أَفْهَمَ,이해시켰다,,0,,,,,,A2
10366,1,vocabulary,أَقْرَبُ,더가까운,,0,,,,,,A2
10367,1,vocabulary,أَكَلُوا,먹었다,,0,,,,,,A2
10368,1,vocabulary,أَكَلْتَ,먹었니,,0,,,,,,A2
10369,1,vocabulary,أَكَلْتُ,먹었다,,0,,,,,,A2
10370,1,vocabulary,أَكْبَرُ,가장큰,,0,,,,,,A2
10371,1,vocabulary,أَكْتُبَ,쓰는,,0,,,,,,A2
10372,1,vocabulary,أَيَّامٍ,일,,0,,,,,,A2
10373,1,vocabulary,السُّوقُ,시장,,0,,,,,,A2
10374,1,vocabulary,الصَّفِّ,교실,,0,,,,,,A2
10375,1,vocabulary,الصِّفْر,0,,0,,,,,,A2
10376,1,vocabulary,بَارِدًا,춥게,,0,,,,,,A2
10377,1,vocabulary,بَدَأَتْ,시작되었다,,0,,,,,,A2
10378,1,vocabulary,بُنِّيٌّ,갈색,,0,,,,,,A2
10379,1,vocabulary,تَبْدَأُ,시작한다,,0,,,,,,A2
10380,1,vocabulary,تَتْرُكُ,그만둡니까,,0,,,,,,A2
10381,1,vocabulary,تَدْخُلُ,들어가니,,0,,,,,,A2
10382,1,vocabulary,تَدْرُسُ,공부,,0,,,,,,A2
10383,1,vocabulary,تَذْهَبَ,가야,,0,,,,,,A2
10384,1,vocabulary,تَرَكْتُ,두었다,,0,,,,,,A2
