id,level,type,arabic_text,korean_meaning,root,gender,phrase_components
20024,2,phrase,الشَّجَرَةُ الْعَالِيَةُ,그 높은 나무,ش-ج-ر,F,"{""noun"": ""الشَّجَرَةُ"", ""adj"": ""الْعَالِيَةُ""}"
20025,2,phrase,طَعَامٌ لَذِيذٌ,맛있는 음식,ط-ع-م,M,"{""noun"": ""طَعَامٌ"", ""adj"": ""لَذِيذٌ""}"
20001,2,phrase,كِتَابٌ جَدِيدٌ,새로운 책,ك-ت-ب,M,"{""noun"": ""كِتَابٌ"", ""adj"": ""جَدِيدٌ""}"
20002,2,phrase,سَيَّارَةٌ جَمِيلَةٌ,아름다운 차,س-ي-ر,F,"{""noun"": ""سَيَّارَةٌ"", ""adj"": ""جَمِيلَةٌ""}"
20003,2,phrase,الْبَيْتُ الْكَبِيرُ,큰 집,ب-ي-ت,M,"{""noun"": ""الْبَيْتُ"", ""adj"": ""الْكَبِيرُ""}"
20004,2,phrase,الْمَدِينَةُ الْقَدِيمَةُ,오래된 도시,م-د-ن,F,"{""noun"": ""الْمَدِينَةُ"", ""adj"": ""الْقَدِيمَةُ""}"
20005,2,phrase,طَالِبٌ مُجْتَهِدٌ,성실한 학생,ط-ل-ب,M,"{""noun"": ""طَالِبٌ"", ""adj"": ""مُجْتَهِدٌ""}"
20006,2,phrase,مُعَلِّمَةٌ مُمْتَازَةٌ,훌륭한 선생님,ع-ل-م,F,"{""noun"": ""مُعَلِّمَةٌ"", ""adj"": ""مُمْتَازَةٌ""}"
20007,2,phrase,الرَّجُلُ الطَّوِيلُ,키 큰 남자,ر-ج-ل,M,"{""noun"": ""الرَّجُلُ"", ""adj"": ""الطَّوِيلُ""}"
20008,2,phrase,الْمَرْأَةُ الْقَصِيرَةُ,키 작은 여자,م-ر-أ,F,"{""noun"": ""الْمَرْأَةُ"", ""adj"": ""الْقَصِيرَةُ""}"
20009,2,phrase,دَرْسٌ سَهْلٌ,쉬운 수업,د-ر-س,M,"{""noun"": ""دَرْسٌ"", ""adj"": ""سَهْلٌ""}"
20010,2,phrase,لُغَةٌ صَعْبَةٌ,어려운 언어,ل-غ-و,F,"{""noun"": ""لُغَةٌ"", ""adj"": ""صَعْبَةٌ""}"
20011,2,phrase,الْقَلَمُ الْأَزْرَقُ,파란 펜,ق-ل-م,M,"{""noun"": ""الْقَلَمُ"", ""adj"": ""الْأَزْرَقُ""}"
20012,2,phrase,الْحَقِيبَةُ الْحَمْرَاءُ,빨간 가방,ح-ق-ب,F,"{""noun"": ""الْحَقِيبَةُ"", ""adj"": ""الْحَمْرَاءُ""}"
20013,2,phrase,صَدِيقٌ مُخْلِصٌ,충실한 친구,ص-د-ق,M,"{""noun"": ""صَدِيقٌ"", ""adj"": ""مُخْلِصٌ""}"
20014,2,phrase,صَدِيقَةٌ وَفِيَّةٌ,충실한 친구,ص-د-ق,F,"{""noun"": ""صَدِيقَةٌ"", ""adj"": ""وَفِيَّةٌ""}"
20015,2,phrase,الْعَمَلُ الشَّاقُّ,힘든 일,ع-م-ل,M,"{""noun"": ""الْعَمَلُ"", ""adj"": ""الشَّاقُّ""}"
20016,2,phrase,الْحَيَاةُ السَّعِيدَةُ,행복한 삶,ح-ي-ي,F,"{""noun"": ""الْحَيَاةُ"", ""adj"": ""السَّعِيدَةُ""}"
20017,2,phrase,مَطْعَمٌ نَظِيفٌ,깨끗한 식당,ط-ع-م,M,"{""noun"": ""مَطْعَمٌ"", ""adj"": ""نَظِيفٌ""}"
20018,2,phrase,غُرْفَةٌ وَاسِعَةٌ,넓은 방,غ-ر-ف,F,"{""noun"": ""غُرْفَةٌ"", ""adj"": ""وَاسِعَةٌ""}"
20019,2,phrase,الْجَوُّ الْحَارُّ,더운 날씨,ج-و-و,M,"{""noun"": ""الْجَوُّ"", ""adj"": ""الْحَارُّ""}"
20020,2,phrase,الشَّمْسُ الْمُشْرِقَةُ,빛나는 태양,ش-م-س,F,"{""noun"": ""الشَّمْسُ"", ""adj"": ""الْمُشْرِقَةُ""}"
20021,2,phrase,يَوْمٌ جَمِيلٌ,아름다운 날,ي-و-م,M,"{""noun"": ""يَوْمٌ"", ""adj"": ""جَمِيلٌ""}"
20022,2,phrase,لَيْلَةٌ هَادِئَةٌ,조용한 밤,ل-ي-ل,F,"{""noun"": ""لَيْلَةٌ"", ""adj"": ""هَادِئَةٌ""}"
20023,2,phrase,الْبَحْرُ الْعَمِيقُ,깊은 바다,ب-ح-ر,M,"{""noun"": ""الْبَحْرُ"", ""adj"": ""الْعَمِيقُ""}"
20024,2,phrase,السَّمَاءُ الصَّافِيَةُ,맑은 하늘,س-م-و,F,"{""noun"": ""السَّمَاءُ"", ""adj"": ""الصَّافِيَةُ""}"
20025,2,phrase,مَكْتَبٌ كَبِيرٌ,큰 사무실/책상,ك-ت-ب,M,"{""noun"": ""مَكْتَبٌ"", ""adj"": ""كَبِيرٌ""}"
